序列号,ID,Title,url,images,location,Period,Materials,Measurements,Artist,Credit Line,Type,Description,Illusion
1,S2012.9.3333a-b,Miniature incense burner,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.3333a-b,https://ids.si.edu/ids/iiif/FS-8147_19/full/full/0/default.jpg,"Jingdezhen, Jiangxi province, China",14th century,Porcelain with iron pigment under transparent pale-blue (qingbai) glaze,H x W x D: 6.4 x 5.9 x 4.2 cm (2 1/2 x 2 5/16 x 1 5/8 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
2,S1987.275,"Ritual wine cup (gu) with masks (taotie), dragons, and snakes",https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S1987.275,https://ids.si.edu/ids/iiif/FS-S1987.275_001/full/full/0/default.jpg,"Anyang, probably Henan province, China",ca. 1150-1100 BCE,Bronze,H x Diam: 31.6 × 16.3 cm (12 7/16 × 6 7/16 in),,Gift of Arthur M. Sackler,,,
3,FSC-P-174,Bowl,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_FSC-P-174,https://ids.si.edu/ids/iiif/FS-fsc-p-174v1/full/full/0/default.jpg,"Qionglai kiln site, Quionglai, Sichuan province, China",9th-early 10th century,Stoneware with white slip under clear glaze,,,Gift of Dr. David C. Graham,,,
4,S2012.9.2338,Garment hook,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.2338,https://ids.si.edu/ids/iiif/FS-7844_24/full/full/0/default.jpg,China,4th-3rd century BCE,Bronze,H x W x D (overall): 1.6 x 10 x 2.4 cm (5/8 x 3 15/16 x 15/16 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
5,F1919.177,Prime Minister Yang Su and the Studious Youth,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1919.177,https://ids.si.edu/ids/iiif/FS-8242_25/full/full/0/default.jpg,China,17th-18th century,Ink and color on silk,H x W (image): 184.8 x 99.4 cm (72 3/4 x 39 1/8 in),,Gift of Charles Lang Freer,,,
6,FSC-P-4172,Object,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_FSC-P-4172,https://ids.si.edu/ids/iiif/FS-FSC-P-4172_1/full/full/0/default.jpg,,,Porcelain with transparent pale-blue (qingbai) glaze,H x Diam (overall): 3.2 x 5.7 cm (1 1/4 x 2 1/4 in),,Gift of the John Hadley Cox Archaeological Study Collection,,,
7,S1987.443,Garment hook,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S1987.443,https://ids.si.edu/ids/iiif/FS-7384_18/full/full/0/default.jpg,China,400-200 BCE,Bronze,H x W x D (overall): 4.3 x 1.2 x 1.4 cm (1 11/16 x 1/2 x 9/16 in),,Gift of The Arthur M. Sackler Foundation,,,
8,F1917.187,Sun and moon over land and sea,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1917.187,https://ids.si.edu/ids/iiif/FS-7074_05/full/full/0/default.jpg,China,17th-18th century,Ink and color on silk,H x W: 28.3 x 222.4 cm (11 1/8 x 87 9/16 in),Formerly attributed to Emperor Ming of the Jin dynasty (reigned 323-325),Gift of Charles Lang Freer,,,
9,S2012.9.1112,Forked blade (zhang璋),https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.1112,https://ids.si.edu/ids/iiif/FS-RLS1997.48.3447_001/full/full/0/default.jpg,China,ca. 5000-ca. 1700 BCE,Jade (nephrite),H x W x D (overall): 48.6 x 5 x 0.4 cm (1 15/16 x 19 1/8 x 3/16 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
10,F1918.160,A Branch of loquats,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1918.160,https://ids.si.edu/ids/iiif/FS-5807_06/full/full/0/default.jpg,China,1368-1644,Ink and color on silk,H x W (image): 68.8 x 30 cm (27 1/16 x 11 13/16 in),Formerly attributed to Qian Xuan 錢選 (late 13th century),Gift of Charles Lang Freer,,,
