title,type,date,credit_line,accession_number,image_download_url
Landscape,Painting,1863,Purchase — Charles Lang Freer Endowment,F1978.5,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7983_20
Book of prayers,Manuscript,January 1812 (Muharram 1227 A.H.),"Purchase — Smithsonian Unrestricted Trust Funds, Smithsonian Collections Acquisition Program, and Dr. Arthur M. Sackler",S1986.482,https://ids.si.edu/ids/deliveryService?max=170&id=FS-S1986.482_001-000001
Buddha Akshobhya,Sculpture,late 14th century,The Alice S. Kandell Collection,S2012.6,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7600_10
Buddha Vajradhara,Sculpture,Late 14th-15th century,The Alice S. Kandell Collection,S2012.7,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7602_30
Buddha Shakyamuni Descending from the Heaven of the 33 Gods,Painting,Late 19th to early 20th century,The Alice S. Kandell Collection,S2013.30,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7621_08
Shri Devi,Sculpture,18th century,The Alice S. Kandell Collection,S2015.28.11a-b,https://ids.si.edu/ids/deliveryService?max=170&id=FS-S2015.28.11a-b_001
Buddha Shakyamuni,Sculpture,First half of the 20th century,The Alice S. Kandell Collection,S2015.28.1a-b,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7599_05
Buddha Shakyamuni,Sculpture,11th-12th century,The Alice S. Kandell Collection,S2015.28.2,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7599_07
Buddha Shakyamuni,Sculpture,13th to 14th century,The Alice S. Kandell Collection,S2015.28.3,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7599_09
Buddha Shakyamuni,Sculpture,15th century,The Alice S. Kandell Collection,S2015.28.4,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7599_11
Bodhisattva,Sculpture,18th century,The Alice S. Kandell Collection,S2016.26,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7599_15
Buddhist Teacher from a set,Sculpture,19th or the first half of the 20th century,The Alice S. Kandell Collection,S2017.36.1,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7599_32
Buddhist Teacher from a set,Sculpture,19th or the first half of the 20th century,The Alice S. Kandell Collection,S2017.36.2,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7599_34
Buddhist Teacher from a set,Sculpture,19th or the first half of the 20th century,The Alice S. Kandell Collection,S2017.36.3,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7599_36
Buddhist Teacher from a set,Sculpture,19th or the first half of the 20th century,The Alice S. Kandell Collection,S2017.36.4,https://ids.si.edu/ids/deliveryService?max=170&id=FS-S2017.36.4_001
Buddhist Teacher from a set,Sculpture,19th or the first half of the 20th century,The Alice S. Kandell Collection,S2017.36.5,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7599_40
Buddhist Teacher from a set,Sculpture,19th or the first half of the 20th century,The Alice S. Kandell Collection,S2017.36.6,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7599_42
Buddhist Teacher from a set,Sculpture,19th or the first half of the 20th century,The Alice S. Kandell Collection,S2017.36.7a-b,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7599_44
Lama,Sculpture,19th century,The Alice S. Kandell Collection,S2017.55,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7600_40
Eleven-headed Avalokiteshvara,Sculpture,18th century,The Alice S. Kandell Collection,S2018.29a-i,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7615_12
Buddhist Teacher,Sculpture,First half of the 20th century,The Alice S. Kandell Collection,S2018.48a-e,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7616_06
Buddha Shakyamuni,Sculpture,15th century,The Alice S. Kandell Collection,S2018.49,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7600_42
Ryokai Mandara (one of a pair with F1966.5),Painting,12th century,Purchase — Charles Lang Freer Endowment,F1966.4,https://ids.si.edu/ids/deliveryService?max=170&id=FS-7876_04
