url,images,Accession Number,Artist,Category,Credit Line,Culture,Date Made,Description,Inscriptions and Colophons,Materials,Materials Glossary,Measurements,Object Type,Period,Place Made,Title
https://search.museums.ualberta.ca/21-20189,https://media.museums.ualberta.ca/UAAC/fullres/2004/2004_019_001_001_017_ve_s21-03v01.jpg,2004.19.1.1.17,unknown,albums,Gift of Sandy and Cécile Mactaggart,Chinese,ca. 1759,"This album leaf is part of a section of the illustrations of costumes from the Qianlong court, Huangchao liqi tushi (“The Regulations for the Ceremonial Paraphernalia of the [Qing] Dynasty”). In total there are 34 folios that depict costumes appropriate for the Empress Dowager or Empress to wear at the imperial court along with short descriptive captions. This is the right leaf of one folio (attached to 2004.19.1.16) depicting the front of a formal court robe. The Chinese script describes the pictorial content of the painting and is translated as  ""illustration of summer court robe chaopao, the second style for the Empress Dowager and Empress."" This painting is nearly identical to another leaf found in the album, 2004.19.1.1.15.","皇太后 皇后 夏朝袍二圖 Translation of the Chinese text: ""Illustration of Summer court robe chaopao, the second style for the Empress Dowager and Empress.""
On the reverse of the piece ""(51)"" is handwritten in… 

													皇太后 皇后 夏朝袍二圖 Translation of the Chinese text: ""Illustration of Summer court robe chaopao, the second style for the Empress Dowager and Empress.""
On the reverse of the piece ""(51)"" is handwritten in pencil on the upper left corner.  Below it are two markings in black ink. 
Read More +",ink; silk; paper,,sheet: 42.2 cm x 40.8 cm; image: 36.2 cm x 37.6 cm,album leaf,Qing 18th century,China,Album Leaf from Illustrations of Costumes from the Qianlong Court
https://search.museums.ualberta.ca/21-19986,https://media.museums.ualberta.ca/UAAC/fullres/2004/2004_019_002_021_s21-10v01.jpg,2004.19.2.21,unknown,albums,Gift of Sandy and Cécile Mactaggart,Chinese,date unknown,"This album leaf is a part of a 48-page album that depicts Chinese subjects participating in various aspects of daily life, including government business, daily life, cultural customs, modes of transportation, and corporal punishment. This leaf contains an ink and watercolour depiction of a male figure being pushed in a rear-powered wheeled cart or rickshaw. The passenger, labelled as a merchant, is wearing a long blue robe with cuffs covering his hands. He also wears a brown coned hat with red tassels and black boots. The porter wears a black tunic over short pants with sandals and a straw hat.",,ink; paper,,sheet: 17.2 cm x 28 cm; image: 10.8 cm x 16.8 cm,album leaf,Qing 18th century,China,Album Leaf from Illustrations of Chinese Costumes
https://search.museums.ualberta.ca/21-19578,https://media.museums.ualberta.ca/UAAC/fullres/2005/2005_005_356_ve_s21-03v01.jpg,2005.5.356,unknown,clothing,Gift of Sandy and Cécile Mactaggart,Chinese,date unknown,,,purple silk plain weave embroidered with silk,"Embroidery											
											 
												
												
													
														View Materials Glossary Details »",overall: 142.7 cm x 131.6 cm; neck to hem: 142.7 cm; cuff to cuff: x 131.6 cm,robe,Qing 19th century,China,Embroidered Purple Silk Robe for a Woman
https://search.museums.ualberta.ca/21-20442,https://media.museums.ualberta.ca/UAAC/fullres/2004/2004_019_072_008_s21-03v01.jpg,2004.19.72.8,Wang Gai,albums,Gift of Sandy and Cécile Mactaggart,Chinese,1702,"This is the eighth leaf from the Figures in River Landscape  album by Wang Gai (1677-1705), which is painted with ink and colour on paper. Each leaf contains a landscape, which was painted in situ by Wang Gai. Repeating themes throughout the album include figures immersed in the natural environment, which reflects the literati’s yearning and nostalgia.
This leaf contains a scenic and tranquil landscape of several mountain ranges, cliffs, a river, a cottage and blooming trees and mosses. On the right side of the scene, there is a man standing on a bridge observing the landscape around him.",,ink and colour on paper,,,album leaf,Qing 18th century,China,Album Leaf from Figures in River Landscapes
https://search.museums.ualberta.ca/21-20880,https://media.museums.ualberta.ca/UAAC/fullres/2005/2005_005_145_001_re_s21-03v01.jpg,2005.5.145.1,unknown,textiles,Gift of Sandy and Cécile Mactaggart,Chinese,date unknown,,,silk; silk velvet brocade,"Brocade											
											 
												
												
													
														View Materials Glossary Details »",overall: 198 cm x 177.5 cm,hanging,Qing 19th century,China,Red Silk Cut Velvet Hanging
https://search.museums.ualberta.ca/21-19814,https://media.museums.ualberta.ca/UAAC/fullres/2005/2005_005_592_002_re_s23-03v01.jpg,2005.5.592,unknown,textiles,Gift of Sandy and Cécile Mactaggart,Chinese,1862-1874,"Rank badges, always made in pairs, were placed on the front and back of surcoats in order to communicate their wearer’s rank during the Ming (1368-1644) and Qing dynasties (1644-1911). Different motifs were regulated by the imperial court, including bird motifs used only for civil officials while beasts were used for military officials. The hierarchy of ranks within these categories was represented by specific birds and beasts. This pair of rank badges features a leopard rendered in tapestry weave with details painted with ink, representing a third rank military official. The leopard is identified by its spots, which look like geometric marks throughout its body, and green eyebrows, which are typical in the late Qing dynasty.
The front badge is made into two separate panels to accommodate the front opening of a surcoat, while the back badge is made in one piece. The patterns on the front and back badges are identical. The leopard is positioned in the center of the badge, surrounded by clouds, small white flowers, bats, and other auspicious symbols. Select details are highlighted with metal-wrapped threads, including the standing water waves below the leopard. The position of the sun on the right side of the badge indicates that the wearer was a woman, likely the spouse of a military official. The border features show characters and bats, which are symbols of luck.",,silk and metal-wrapped thread tapestry weave with ink,,,rank badge,Qing 19th century,China,Front and Back Panels of a Rank Badge for a Third Rank Military Official
https://search.museums.ualberta.ca/21-20240,https://media.museums.ualberta.ca/UAAC/fullres/2004/2004_019_001_001_032_s21-03v01.jpg,2004.19.1.1.32,unknown,albums,Gift of Sandy and Cécile Mactaggart,Chinese,ca. 1759,"This album leaf is part of a section of the illustrations of costumes from the Qianlong court, Huangchao liqi tushi (“The Regulations for the Ceremonial Paraphernalia of the [Qing] Dynasty”). In total there are 34 folios that depict costumes appropriate for the Empress Dowager or Empress to wear at the imperial court along with short descriptive captions. This is the left leaf of one folio (attached to 2004.19.1.33) and it contains seven columns of regular script calligraphy describing the regulations of a winter court robe (chaopao) the first style for the empress dowager and empress.","龍九 間以五色雲 中無襞積 下幅八寶平水 披領行龍二 袖端正龍各一 袖相接處行龍各二 領後垂明黃縧 其飾珠寶惟宜 餘俱如前 皇貴妃同 Translation of the Chinese text:… 

													龍九 間以五色雲 中無襞積 下幅八寶平水 披領行龍二 袖端正龍各一 袖相接處行龍各二 領後垂明黃縧 其飾珠寶惟宜 餘俱如前 皇貴妃同 Translation of the Chinese text: ""[continuing from the right leaf, 2004.19.1.1.33]...include nine golden dragons spaced by five-colour clouds. The middle [of the robe] does not have pleats. The lower part is decorated with ""eight treasures and level waters"" [babao, pingshui]. There are two moving dragons embroidered on the flared shoulder collar, one front-facing dragon on each cuff, and each sleeve has two moving dragons at the joint place. The back of the collar attaches a hanging with bright yellow ribbons adorned with pearls and gems as fitting. The first-rank imperial consort will have the same design.""
(Translated and transcribed by Lisa Claypool, Ed., China’s Imperial Modern: The Painter’s Craft, Edmonton, AB: University of Alberta Museums, 2012, p. 103; Modified by Isabel Pi-fen Chueh)
On the reverse of the piece ""(36)"" is handwritten in pencil on the upper right corner 
Read More +",ink; silk; paper,,sheet: 42.2 cm x 81.7 cm; image: 12.5 cm x 12.5 cm,album leaf,Qing 18th century,China,Album Leaf from Illustrations of Costumes from the Qianlong Court
https://search.museums.ualberta.ca/21-21047,https://media.museums.ualberta.ca/UAAC/fullres/2004/2004_019_001_001_032_s21-03v01.jpg,2005.5.621.6.1.2,unknown,clothing,Gift of Sandy and Cécile Mactaggart,Chinese,date unknown,,,"felt, cork",,overall: 26.4 cm x 7.9 cm x .4 cm,insole,Qing 19th century,China,Insole
https://search.museums.ualberta.ca/21-20155,https://media.museums.ualberta.ca/UAAC/fullres/2004/2004_019_001_001_010_s21-03v01.jpg,2004.19.1.1.10,unknown,albums,Gift of Sandy and Cécile Mactaggart,Chinese,ca. 1759,"This album leaf is part of a section of the illustrations of costumes from the Qianlong court, Huangchao liqi tushi (“The Regulations for the Ceremonial Paraphernalia of the [Qing] Dynasty”). In total there are 34 folios that depict costumes appropriate for the Empress Dowager or Empress to wear at the imperial court along with short descriptive captions. This is the left leaf of one folio (attached to 2004.19.1.11) and it contains eight columns of regular script calligraphy describing the regulations for a jeweled collar (lingyue) for the empress dowager and empress.","皇太后 皇后領約 謹按 本朝定制 皇太后 皇后領約 縷金為之 飾東珠十一 間以珊瑚 兩端垂明黃縧二 中各貫珊瑚 末墜綠松石各二 Translation of the Chinese text: ""Jeweled collar… 

													皇太后 皇后領約 謹按 本朝定制 皇太后 皇后領約 縷金為之 飾東珠十一 間以珊瑚 兩端垂明黃縧二 中各貫珊瑚 末墜綠松石各二 Translation of the Chinese text: ""Jeweled collar lingyue for the Empress Dowager and Empress/In accordance with the decree of the present dynasty: The jeweled collar lingyue of the Empress Dowager and Empress is engraved gold decorated with eleven eastern pearls spaced by coral. There are two bright yellow dangling bands: at the centre which are strung with coral beads, and the ends are adorned with two green turquoise stones.""
 (Translated and transcribed by Lisa Claypool, Ed., China’s Imperial Modern: The Painter’s Craft, Edmonton, AB: University of Alberta Museums, 2012, p. 104)
On the reverse ""(58)"" is handwritten in pencil on the upper left corner. 
Read More +",ink; silk; paper,,sheet: 42.2 cm x 40.8 cm; image: 34.2 cm x 31.6 cm,album leaf,Qing 18th century,China,Album Leaf from Illustrations of Costumes from the Qianlong Court
https://search.museums.ualberta.ca/21-19740,https://media.museums.ualberta.ca/UAAC/fullres/2005/2005_005_518_ve_g01_s23-01v01.jpg,2005.5.518,unknown,textiles,Gift of Sandy and Cécile Mactaggart,Chinese,date unknown,,,gold wrapped silk thread; silk brocade,"Brocade											
											 
												
												
													
														View Materials Glossary Details »",overall: 73.5 cm x 409 cm,yardage,Qing 20th century,China,Silk Brocade Yardage
