Subject,Predicate,Object,ObjectLabel
FSC-P-5350,制作时间,15th-17th century,date
F1923.7,标题,Pancham Ragini from a Ragamala set,title
S2003.8.2380,标题,Ochanomizu,title
F1997.23.2,制作时间,ca. 1828,date
FSC-P-5037,捐赠来源,Gift of Victor and Takako Hauge,donor
nan,标题,Willoughby Wallace Hooper Photograph of Grasscutters in India,title
S2019.3.1618,制作时间,1953,date
S2003.8.1761,标题,The Iriya Morning Glory Market,title
F1905.51,标题,Jar,title
FSC-P-4477,标题,Fragment of an unidentifiable vessel,title
S2003.8.370,标题,Cherry Blossoms at Night,title
F1998.5.65,制作时间,"Text dated 1468, paintings repainted ca. 1645",date
F1907.73,标题,Jun ware incense burner,title
S2019.3.1129,制作时间,1931,date
S2021.5.448,标题,Danshichi Kurobei,title
F1918.157b,捐赠来源,Gift of Charles Lang Freer,donor
S2003.8.449,对象类型,Print,type
S2003.8.689,标题,"Karasu marsh, Akita, from the series Souvenirs of travels, third collection",title
S2003.8.675,制作时间,1925/8,date
S2003.8.2335,捐赠来源,Robert O. Muller Collection,donor
nan,制作时间,1930s - 1960s,date
FSC-P-6418,制作时间,15th-17th century,date
F1915.277,标题,"Brocade, silk",title
S2003.8.2485,对象类型,Print,type
F1953.26,捐赠来源,Purchase — Charles Lang Freer Endowment,donor
S1992.18,制作时间,late 19th century,date
F1901.156,制作时间,1279-1368,date
S2018.24.1,捐赠来源,Gift of the Barbaros Collection (Louise Shelley and Richard Isaacson),donor
nan,标题,[Three rickshaws],title
S2017.57.4,标题,"Triangular spoon, from a set of tantric ritual implements",title
S2003.8.3327,捐赠来源,Robert O. Muller Collection,donor
S2003.8.1921,对象类型,Print,type
S2003.8.3588,捐赠来源,Robert O. Muller Collection,donor
FSC-P-5377,对象类型,Vessel,type
S2003.8.2332,标题,Night Rain at Izumibashi,title
F1909.222,对象类型,Painting,type
S2003.8.2548,制作时间,1929,date
F2020.1.3,捐赠来源,Bequest of Monir Shahroudy Farmanfarmaian in memory of Dr. Abolbashar Farmanfarmaian,donor
FSC-P-4927,标题,Sherd,title
S1994.42a-b,制作时间,ca. early 19th century,date
S2012.9.4333,对象类型,Sculpture,type
S2003.8.3033,制作时间,January 1887,date
S2003.8.3145,对象类型,Print,type
F1911.156j,捐赠来源,Gift of Charles Lang Freer,donor
FSC-M-12a-c,对象类型,Exchange Media,type
S2018.26,捐赠来源,The Alice S. Kandell Collection,donor
FSC-P-6515,对象类型,Vessel,type
F1992.52,捐赠来源,Purchase — Charles Lang Freer Endowment,donor
S2003.8.1214,捐赠来源,Robert O. Muller Collection,donor
S2003.8.2727,制作时间,"February 15, 1894",date
F1919.125,制作时间,early to mid-15th century,date
FSC-P-4900,制作时间,15th-17th century,date
F1893.45,标题,Jo,title
F1907.678,对象类型,Jewelry and Ornament,type
FSC-P-5696,捐赠来源,Gift of Victor and Takako Hauge,donor
S2003.8.2790.16,制作时间,1925-1926,date
F1902.261,标题,Noh robe fragment (karaori 唐織) 唐織,title
FSC-P-5431,标题,Fragment of an unidentified vessel,title
S2003.8.468,标题,"Mount Fuji from Ashinoko lake, Hakone",title
FSC-M-68,捐赠来源,Gift of Anonymous donor,donor
S2003.8.600,捐赠来源,Robert O. Muller Collection,donor
S2003.8.174,捐赠来源,Robert O. Muller Collection,donor
FSC-P-4553,对象类型,Vessel,type
S2003.8.3441,捐赠来源,Robert O. Muller Collection,donor
FSC-P-6336,捐赠来源,Gift of Victor and Takako Hauge,donor
S2003.8.2520,标题,Ginkaku-ji In Snow,title
S2003.8.3002,制作时间,1876,date
S2003.8.3303,捐赠来源,Robert O. Muller Collection,donor
FSC-P-4905,捐赠来源,Gift of Victor and Takako Hauge,donor
