Subject,Predicate,Object,ObjectLabel
2010.21.10.2,博物馆,亚伯达大学,museum
2005.5.507,链接,https://search.museums.ualberta.ca/21-19729,url
2005.5.461,博物馆,亚伯达大学,museum
2004.19.3.22,图片,https://media.museums.ualberta.ca/UAAC/fullres/2004/2004_019_003_022_s21-03v01.jpg,images
2005.5.169,图片,https://media.museums.ualberta.ca/UAAC/fullres/2005/2005_005_169_ve_s23-03v01.jpg,images
2009.8.11,图片,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_576_001_ve_s19-12v01.jpg,images
2005.5.461,链接,https://search.museums.ualberta.ca/21-19683,url
2004.19.1.1.17,链接,https://search.museums.ualberta.ca/21-20189,url
2005.5.514,博物馆,亚伯达大学,museum
2005.5.328,图片,https://media.museums.ualberta.ca/UAAC/fullres/2005/2005_005_328_ve_s21-03v01.jpg,images
2005.5.284.2,图片,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_284_002_re_s20-02v01.jpg,images
2004.19.3.25,链接,https://search.museums.ualberta.ca/21-20112,url
2005.5.615,博物馆,亚伯达大学,museum
2005.5.295.3,博物馆,亚伯达大学,museum
2005.5.419,图片,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_419_re_d01_s19-12v01.jpg,images
2005.5.460,链接,https://search.museums.ualberta.ca/21-19682,url
2005.5.641,链接,https://search.museums.ualberta.ca/21-19863,url
2005.5.400,博物馆,亚伯达大学,museum
2005.5.588.1.1,博物馆,亚伯达大学,museum
2004.19.2.20,博物馆,亚伯达大学,museum
2004.19.3.3,链接,https://search.museums.ualberta.ca/21-20076,url
2005.5.459,博物馆,亚伯达大学,museum
2005.5.578.1.2,图片,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_472_re_s20-02v01.jpg,images
2005.5.565.2,图片,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_565_002_ve_s19-12v01.jpg,images
2005.5.592.1.1,博物馆,亚伯达大学,museum
2005.5.173,博物馆,亚伯达大学,museum
2010.20.2.4,链接,https://search.museums.ualberta.ca/21-23664,url
2004.19.76.1,链接,https://search.museums.ualberta.ca/21-20559,url
2005.5.59,链接,https://search.museums.ualberta.ca/21-19281,url
2005.5.546.1,链接,https://search.museums.ualberta.ca/21-20614,url
2005.5.206,链接,https://search.museums.ualberta.ca/21-19428,url
2005.5.578.1.2,博物馆,亚伯达大学,museum
2005.5.69.2,图片,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_556_001_ve_s19-12v01.jpg,images
2005.5.567.1,博物馆,亚伯达大学,museum
2004.19.78,图片,https://media.museums.ualberta.ca/UAAC/ppt/2009/09_008_011_003s01v01.jpg,images
2005.5.448.1,图片,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_448_001_ve_s20-02v01.jpg,images
2010.16.1.13,链接,https://search.museums.ualberta.ca/21-23581,url
2009.8.9,博物馆,亚伯达大学,museum
2004.19.11.5,博物馆,亚伯达大学,museum
2004.19.1.1.14,链接,https://search.museums.ualberta.ca/21-20160,url
2004.19.11.2,链接,https://search.museums.ualberta.ca/21-20449,url
2005.5.544,博物馆,亚伯达大学,museum
2004.19.68.1.8,博物馆,亚伯达大学,museum
2010.21.4,链接,https://search.museums.ualberta.ca/21-23810,url
2005.5.621.6.2.2,博物馆,亚伯达大学,museum
2005.5.140.3,博物馆,亚伯达大学,museum
2005.5.562.1,链接,https://search.museums.ualberta.ca/21-20718,url
2005.5.157,图片,https://media.museums.ualberta.ca/UAAC/fullres/2005/2005_005_157_ve_s21-03v01.jpg,images
2005.5.317,博物馆,亚伯达大学,museum
2005.5.105,博物馆,亚伯达大学,museum
2005.5.566,博物馆,亚伯达大学,museum
2005.5.402.1.1,图片,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_402_001_001_ve_s20-02v01.jpg,images
2004.19.2.44,链接,https://search.museums.ualberta.ca/21-20055,url
2005.5.37,博物馆,亚伯达大学,museum
2005.5.34,图片,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_034_ve_s19-12v01.jpg,images
2005.5.463,链接,https://search.museums.ualberta.ca/21-19685,url
2005.5.54,图片,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_054_s19-12v01.jpg,images
2015.8.4,图片,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_317_d01_s19-12v01.jpg,images
2005.5.551.1,博物馆,亚伯达大学,museum
2005.5.112.1,博物馆,亚伯达大学,museum
2005.5.425,图片,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_425_ve_s20-02v01.jpg,images
2004.19.79.12,博物馆,亚伯达大学,museum
2005.5.164,链接,https://search.museums.ualberta.ca/21-19386,url
2004.19.76,图片,https://media.museums.ualberta.ca/UAAC/fullres/2010/2010_021_001_re_s21-03v01.jpg,images
2004.19.11.7,链接,https://search.museums.ualberta.ca/21-20454,url
2004.19.85.2,博物馆,亚伯达大学,museum
